timestamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.ax,stateEstimate.ay,stateEstimate.az,stateEstimate.roll,stateEstimate.pitch,stateEstimate.yaw,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw,stabilizer.thrust,motor.m1,motor.m2,motor.m3,motor.m4
31418.245,0.07289814949035645,-0.18985389173030853,1.0725370645523071,0.006027560215443373,-0.01787385158240795,-0.004782463889569044,-0.01828533597290516,0.024188784882426262,-0.027668654918670654,-0.7024791836738586,0.2617504894733429,2.8441195487976074,-120,-105,119,45196.95703125,50430,55613,50853,13199
31428.13,0.07300852239131927,-0.19038158655166626,1.0724436044692993,0.005736176855862141,-0.017603827640414238,-0.006735990289598703,0.01836143620312214,-0.0010908108670264482,-0.0014247894287109375,-0.7488034963607788,0.2155257910490036,2.9061203002929688,-372,-392,138,45249.88671875,51270,54486,50685,19870
31438.0,0.07312595844268799,-0.19094504415988922,1.0723689794540405,0.005470316391438246,-0.017416059970855713,-0.0072563220746815205,0.049212533980607986,0.007610483095049858,0.01732182502746582,-0.9199755191802979,0.03347776085138321,2.977642297744751,-763,-764,144,45266.09765625,51555,51798,50812,28291
31447.872,0.07323352992534637,-0.19153399765491486,1.0723094940185547,0.005355076398700476,-0.017084361985325813,-0.005611598491668701,0.03694038838148117,0.019624164327979088,0.026875019073486328,-1.29402494430542,-0.34817686676979065,3.0492606163024902,-1233,-1203,148,45227.15234375,51113,47883,51161,35274
31457.751,0.07333984225988388,-0.19211718440055847,1.0722519159317017,0.005731203593313694,-0.016190430149435997,-0.0027468777261674404,-0.006963495630770922,0.05075971037149429,-0.00690460205078125,-1.9164495468139648,-0.9675220847129822,3.1120877265930176,-1738,-1672,146,45157.1484375,50616,42708,51470,41493
31467.628,0.0734669417142868,-0.1926797330379486,1.0722029209136963,0.0069796000607311726,-0.01441843993961811,-0.0026416683103889227,0.009489791467785835,0.031959667801856995,-0.033415377140045166,-2.817375898361206,-1.8586030006408691,3.1538500785827637,-2234,-2129,140,45155.66015625,50443,37024,51341,46216
31477.497,0.07361626625061035,-0.19326551258563995,1.0721677541732788,0.009376110509037971,-0.011551220901310444,-0.006122894119471312,0.07628753781318665,0.0607643648982048,0.01511228084564209,-4.008825302124023,-3.0093581676483154,3.1621294021606445,-2616,-2495,158,45243.6171875,51570,30742,50411,49995
31487.372,0.0737963318824768,-0.19378848373889923,1.0721367597579956,0.013674290850758553,-0.0063231405802071095,-0.005757850594818592,0.09218679368495941,0.07751923054456711,0.019308924674987793,-5.43711519241333,-4.376012325286865,3.1327362060546875,-2875,-2751,182,45235.1171875,51491,25397,50794,52286
31497.25,0.0740206316113472,-0.19421692192554474,1.072128415107727,0.020184099674224854,0.0017363448860123754,-0.0037888060323894024,0.0872986912727356,0.12106335163116455,3.719329833984375e-05,-7.037149906158447,-5.908696174621582,3.06307053565979,-3016,-2859,205,45185.0390625,51760,22217,50727,53345
31507.13,0.0742991715669632,-0.19454792141914368,1.0721458196640015,0.02881382405757904,0.012403205968439579,-0.004242711700499058,0.11766505986452103,0.16421566903591156,-0.009644031524658203,-8.741084098815918,-7.519742488861084,2.953453302383423,-3001,-2849,224,45194.25390625,51995,20449,50695,53929
31516.998,0.07465560734272003,-0.19481901824474335,1.072160243988037,0.03987397626042366,0.02592891827225685,-0.0055024088360369205,0.19280368089675903,0.20907902717590332,-0.0006462335586547852,-10.467660903930664,-9.14077091217041,2.8064448833465576,-2874,-2707,248,45223.890625,52448,19778,50430,54178
31526.875,0.07512809336185455,-0.19497494399547577,1.0721708536148071,0.05375666916370392,0.042769476771354675,-0.00598534569144249,0.2131328284740448,0.2007206529378891,0.01920938491821289,-12.140031814575195,-10.691134452819824,2.635753631591797,-2554,-2379,262,45234.3125,52721,23448,49914,52979
31536.749,0.07573214173316956,-0.19498321413993835,1.0721888542175293,0.07044999301433563,0.06306075304746628,-0.005337317008525133,0.2237565517425537,0.26739534735679626,0.008939504623413086,-13.661199569702148,-12.08120346069336,2.4669687747955322,-2213,-2058,274,45215.93359375,52762,25665,49810,52178
31546.627,0.07655252516269684,-0.1948796957731247,1.0722438097000122,0.08952528238296509,0.08595708012580872,-0.005187815520912409,0.17864419519901276,0.2799950838088989,-0.02454274892807007,-14.98122501373291,-13.293694496154785,2.3169264793395996,-1682,-1586,288,45208.06640625,53395,31907,48720,49161
31556.506,0.0775742307305336,-0.19458594918251038,1.072329044342041,0.10991720855236053,0.11028601974248886,-0.008197320625185966,0.2866784632205963,0.347470760345459,-0.05239081382751465,-16.024614334106445,-14.263912200927734,2.214736223220825,-1209,-1078,279,45278.0234375,53440,35587,48590,47129
31566.382,0.0787375345826149,-0.19382667541503906,1.0724103450775146,0.13176745176315308,0.13735973834991455,-0.011119700968265533,0.2820931375026703,0.26290035247802734,-0.010293722152709961,-16.780315399169922,-14.960746765136719,2.1769778728485107,-674,-591,261,45346.3515625,53800,40918,47501,42946
31576.257,0.08014602214097977,-0.19269819557666779,1.072471022605896,0.1552227884531021,0.1666581928730011,-0.012833653949201107,0.1899569034576416,0.29282355308532715,-0.030423998832702637,-17.23055648803711,-15.38843059539795,2.2101635932922363,-238,-93,274,45385.671875,53819,44189,47658,39390
